(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0CK29YM45,B09TW85PD3,Lost Cabin Cafe Terrace at Night by Vincent Van Gogh | Matted Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 14x20 Frame: 20.5x26.5,100,6,0.42%,0.89%,130,11,0.47%,1.36%,99.12%,100.00%,3,1,3.00%,16.67%,$209.97,$69.99,3,1
B0BNFCY2VV,B0BNFCMS59,Lost Cabin Waltz by Anders Zorn | Print Unframed | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster | Image: 12x18 No Frame,15,0,0.06%,0.00%,28,0,0.10%,0.00%,100.00%,0.00%,3,0,20.00%,0.00%,$44.97,$0.00,3,0
B0CK29YM45,B0CGDMSW5Y,Lost Cabin Vase with Red Poppies by Vincent Van Gogh | Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 12x16 Frame: 13.5x17.5,44,0,0.19%,0.00%,48,0,0.17%,0.00%,100.00%,0.00%,3,0,6.82%,0.00%,$98.97,$0.00,3,0
B0CVGWWV52,B0D88ZPWHP,A Road in Louveciennes by Pierre Renoir Premium Poster Print | Fine Artwork Painting Reproduction | Wall Art Decor LivingRoom Office | Image: 9x12 Not Framed,20,0,0.08%,0.00%,23,0,0.08%,0.00%,100.00%,0.00%,3,0,15.00%,0.00%,$23.97,$0.00,3,0
B0CK29YM45,B09FL45XFK,Lost Cabin Starry Night by Vincent Van Gogh | Matted Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 14x20 Frame: 20.5x26.5,36,4,0.15%,0.59%,56,4,0.20%,0.49%,100.00%,0.00%,2,0,5.56%,0.00%,$139.98,$0.00,2,0
B09F9B4RPF,B09HL9MX5F,Lost Cabin Cattleya Orchid & Three Hummingbirds by Martin Johnson Heade | Canvas in Gold Beveled Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor | Image: 18x24 Frame: 22x28,9,0,0.04%,0.00%,15,0,0.05%,0.00%,100.00%,0.00%,2,0,22.22%,0.00%,$64.99,$0.00,2,0
B0CK29YM45,B09JZPRK22,Lost Cabin Vase with Red Poppies by Vincent Van Gogh | Canvas in Gold Beveled Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 18x24 Frame: 22x28,80,3,0.34%,0.45%,100,3,0.36%,0.37%,100.00%,0.00%,2,0,2.50%,0.00%,$129.98,$0.00,2,0
B09Q1SN7CL,B09Q1TL8YV,"Flamingo Motel Sign Poster Wall Art Decor Unframed Print | Landmarks & General Photography Home & Office Posters, Pictures & Prints by Larry Grossman | Picture & Artwork for Bedroom & Living Room",14,0,0.06%,0.00%,19,0,0.07%,0.00%,100.00%,0.00%,2,0,14.29%,0.00%,$29.98,$0.00,2,0
B0CK29YM45,B09TW7XFT4,Lost Cabin Cafe Terrace at Night by Vincent Van Gogh | Print in Black Flat Frame | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster Gift | Image: 12x16 Frame: 13.5x17.5,37,5,0.16%,0.74%,53,11,0.19%,1.36%,97.73%,0.00%,2,0,5.41%,0.00%,$65.98,$0.00,2,0
B0BR67GLVP,B0BR6912LK,Lost Cabin Among The Sierra Nevada Mountains California by Albert Bierstadt | Print Unframed | Fine Artwork Painting Reproduction | Framed Wall Art Decor Poster | Image: 12x18 No Frame,12,0,0.05%,0.00%,19,0,0.07%,0.00%,87.50%,0.00%,2,0,16.67%,0.00%,$29.98,$0.00,2,0
